codigo_municipio_ibge,municipio,uf,tipo_candidato,co_entidade,nomes_historicos_censo,primeiro_ano_registro_censo,ultimo_ano_registro_censo,primeiro_ano_ativa_censo,ultimo_ano_ativa_censo,primeiro_ano_ept_ativa_censo,ultimo_ano_ept_ativa_censo,sigla_unidade_sistec,nome_unidade_sistec,dt_autorizacao_sistec,uf_unidade_sistec,municipio_unidade_sistec,correspondencia_municipio
1200203,Cruzeiro do Sul,AC,CENSO_ESCOLAR,12030937,INSTITUTO FEDERAL DO ACRE CAMPUS CRUZEIRO DO SUL; IFAC - CAMPUS CRUZEIRO DO SUL,2012.0,2019.0,2012,2019,2012,2019,,,,,,codigo_ibge
1200203,Cruzeiro do Sul,AC,MEC_SISTEC,,,,,,,,,IFAC,Instituto Federal do Acre - Campus Cruzeiro do Sul,24/11/2010 16:48:48,AC,Cruzeiro do Sul,exata
1200500,Sena Madureira,AC,CENSO_ESCOLAR,12030945,INSTITUTO FEDERAL DO ACRE CAMPUS SENA MADUREIRA; IFAC - CAMPUS SENA MADUREIRA; ESC IFAC - CAMPUS SENA MADUREIRA,2012.0,2019.0,2012,2019,2012,2019,,,,,,codigo_ibge
1200500,Sena Madureira,AC,MEC_SISTEC,,,,,,,,,IFAC,Instituto Federal do Acre - Campus Sena Madureira,24/11/2010 16:40:10,AC,Sena Madureira,exata
2700300,Arapiraca,AL,CENSO_ESCOLAR,27047636,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DE ALAGOAS CAMPUS ARAPIRACA; IFAL - CAMPUS ARAPIRACA,2011.0,2019.0,2011,2019,2011,2019,,,,,,codigo_ibge
2700300,Arapiraca,AL,MEC_SISTEC,,,,,,,,,IFAL,Instituto Federal de Alagoas - Campus Arapiraca,23/02/2011 11:38:31,AL,Arapiraca,exata
2704500,Maragogi,AL,CENSO_ESCOLAR,27047750,INSTITUTO FEDERAL DE EDUCACAO CIENCIAS E TECNOLOGIA DE ALAGOAS CAMPUS MARAGOGI; IFAL - CAMPUS MARAGOGI,2011.0,2019.0,2011,2019,2011,2019,,,,,,codigo_ibge
2704500,Maragogi,AL,MEC_SISTEC,,,,,,,,,IFAL,Instituto Federal de Alagoas - Campus Maragogi,23/02/2011 12:26:11,AL,Maragogi,exata
2706703,Penedo,AL,CENSO_ESCOLAR,27047830,INSTITUTO FEDERAL DE ALAGOAS CAMPUS PENEDO; IFAL - CAMPUS PENEDO,2011.0,2019.0,2011,2019,2011,2019,,,,,,codigo_ibge
2706703,Penedo,AL,MEC_SISTEC,,,,,,,,,IFAL,Instituto Federal de Alagoas - Campus Penedo,23/02/2011 12:17:08,AL,Penedo,exata
2707107,Piranhas,AL,CENSO_ESCOLAR,27047628,INSTITUTO FEDERAL DE ALAGOAS CAMPUS PIRANHAS; IFAL - CAMPUS PIRANHAS,2011.0,2019.0,2011,2019,2011,2019,,,,,,codigo_ibge
2707107,Piranhas,AL,MEC_SISTEC,,,,,,,,,IFAL,Instituto Federal de Alagoas - Campus Piranhas,23/02/2011 15:27:18,AL,Piranhas,exata
1302405,Lábrea,AM,CENSO_ESCOLAR,13324233,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO AMAZONAS CAMPUS LABREA; INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO AMAZONAS - CAMPUS LABREA; IFAM - CAMPUS LABREA,2010.0,2019.0,2010,2019,2010,2019,,,,,,codigo_ibge
1302405,Lábrea,AM,MEC_SISTEC,,,,,,,,,IFAM,Instituto Federal do Amazonas - Campus Lábrea,01/06/2010 17:02:34,AM,Lábrea,exata
1302900,Maués,AM,CENSO_ESCOLAR,13321234,INSTITUTO FEDERAL DO AMAZONAS - CAMPUS MAUES; INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO AMAZONAS - CAMPUS MAUES; IFAM - CAMPUS MAUES,2010.0,2019.0,2010,2019,2010,2019,,,,,,codigo_ibge
1302900,Maués,AM,MEC_SISTEC,,,,,,,,,IFAM,Instituto Federal do Amazonas - Campus Maués,01/06/2010 17:41:16,AM,Maués,exata
1303403,Parintins,AM,CENSO_ESCOLAR,13323237,INSTITUTO FEDERAL DO AMAZONAS CAMPUS PARINTINS; INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO AMAZONAS - CAMPUS PARINTINS; IFAM - CAMPUS PARINTINS,2010.0,2019.0,2010,2019,2010,2019,,,,,,codigo_ibge
1303403,Parintins,AM,MEC_SISTEC,,,,,,,,,IFAM,Instituto Federal do Amazonas - Campus Parintins,08/06/2010 11:00:11,AM,Parintins,exata
1303536,Presidente Figueiredo,AM,CENSO_ESCOLAR,13322230,INSTITUTO FEDERAL DO AMAZONAS CAMPUS - PRESIDENTE FIGUEIREDO; INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO AMAZONAS - CAMPUS PRESIDENTE FIGUEIREDO; IFAM - CAMPUS PRESIDENTE FIGUEIREDO,2010.0,2019.0,2010,2019,2010,2019,,,,,,codigo_ibge
1303536,Presidente Figueiredo,AM,MEC_SISTEC,,,,,,,,,IFAM,Instituto Federal do Amazonas - Campus Presidente Figueiredo,08/06/2010 13:39:15,AM,Presidente Figueiredo,exata
1304062,Tabatinga,AM,CENSO_ESCOLAR,13322249,INSTITUTO FEDERAL DO AMAZONAS CAMPUS TABATINGA; INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO AMAZONAS - CAMPUS TABATINGA; IFAM - CAMPUS TABATINGA,2010.0,2019.0,2010,2019,2010,2019,,,,,,codigo_ibge
1304062,Tabatinga,AM,MEC_SISTEC,,,,,,,,,IFAM,Instituto Federal do Amazonas - Campus Tabatinga,08/06/2010 13:43:51,AM,Tabatinga,exata
1600279,Laranjal do Jari,AP,CENSO_ESCOLAR,16007123,INST FED DE EDUC CIENCIA E TECNOLOGIA DO AMAPA-CAMPUS LARANJAL DO JARI; IFAP - CAMPUS LARANJAL DO JARI,2011.0,2019.0,2011,2019,2011,2019,,,,,,codigo_ibge
1600279,Laranjal do Jari,AP,MEC_SISTEC,,,,,,,,,IFAP,Instituto Federal do Amapá - Campus Laranjal do Jari,10/09/2010 14:40:12,AP,Laranjal do Jari,exata
2903904,Bom Jesus da Lapa,BA,CENSO_ESCOLAR,29396581,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA BAIANO; INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA BAIANO - CAMPUS BOM JESUS DA LAPA; IF BAIANO - CAMPUS BOM JESUS DA LAPA,2010.0,2019.0,2010,2019,2010,2019,,,,,,codigo_ibge
2903904,Bom Jesus da Lapa,BA,MEC_SISTEC,,,,,,,,,IF BAIANO,Instituto Federal Baiano - Campus Bom Jesus da Lapa,06/04/2010 16:38:56,BA,Bom Jesus da Lapa,exata
2910800,Feira de Santana,BA,CENSO_ESCOLAR,29448735,INSTITUTO FEDERAL DE EDUCACAO E CIENCIA E TECNOLOGIA - IFBA CAMPUS FEIRA DE SANTANA; IFBA - CAMPUS FEIRA DE SANTANA,2012.0,2019.0,2012,2019,2012,2019,,,,,,codigo_ibge
2910800,Feira de Santana,BA,MEC_SISTEC,,,,,,,,,IFBA,Instituto Federal da Bahia - Campus Feira de Santana,22/03/2011 16:27:41,BA,Feira de Santana,exata
2913606,Ilhéus,BA,CENSO_ESCOLAR,29448751,INSTITUTO FEDERAL DA BAHIA - CAMPUS DE ILHEUS; IFBA - CAMPUS ILHEUS,2012.0,2019.0,2012,2019,2012,2019,,,,,,codigo_ibge
2913606,Ilhéus,BA,MEC_SISTEC,,,,,,,,,IFBA,Instituto Federal da Bahia - Campus Ilhéus,22/03/2011 16:15:39,BA,Ilhéus,exata
2914604,Irecê,BA,CENSO_ESCOLAR,29397928,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DA BAHIA - CAMPUS IRECE; IFBA - CAMPUS IRECE,2011.0,2019.0,2011,2019,2011,2019,,,,,,codigo_ibge
2914604,Irecê,BA,MEC_SISTEC,,,,,,,,,IFBA,Instituto Federal da Bahia - Campus Irecê,22/03/2011 16:04:57,BA,Irecê,exata
2917508,Jacobina,BA,CENSO_ESCOLAR,29449014,INSTITUTO FEDERAL DA BAHIA - CAMPUS JACOBINA,2012.0,2012.0,,,,,,,,,,codigo_ibge
2917508,Jacobina,BA,CENSO_ESCOLAR,29449677,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DA BAHIA CAMPUS JACOBINA; IFBA - CAMPUS JACOBINA,2012.0,2019.0,2012,2019,2012,2019,,,,,,codigo_ibge
2917508,Jacobina,BA,MEC_SISTEC,,,,,,,,,IFBA,Instituto Federal da Bahia - Campus Jacobina,22/03/2011 16:21:03,BA,Jacobina,exata
