codigo_municipio_ibge,municipio,uf,fase_ii,n_anos_presenca_federal,primeiro_ano_presenca_federal,ultimo_ano_presenca_federal,censura_esquerda_presenca_federal,tem_interrupcao_interna_presenca_federal,n_interrupcoes_internas_presenca_federal,trajetoria_monotonica_presenca_federal,n_pre_presenca_federal,n_pos_presenca_federal,n_anos_presenca_federal_ept,primeiro_ano_presenca_federal_ept,ultimo_ano_presenca_federal_ept,censura_esquerda_presenca_federal_ept,tem_interrupcao_interna_presenca_federal_ept,n_interrupcoes_internas_presenca_federal_ept,trajetoria_monotonica_presenca_federal_ept,n_pre_presenca_federal_ept,n_pos_presenca_federal_ept,n_anos_presenca_federal_ept_ativa,primeiro_ano_presenca_federal_ept_ativa,ultimo_ano_presenca_federal_ept_ativa,censura_esquerda_presenca_federal_ept_ativa,tem_interrupcao_interna_presenca_federal_ept_ativa,n_interrupcoes_internas_presenca_federal_ept_ativa,trajetoria_monotonica_presenca_federal_ept_ativa,n_pre_presenca_federal_ept_ativa,n_pos_presenca_federal_ept_ativa,primeiro_ano_persistente_presenca_federal_ept_ativa,elegivel_ept_federal_ativa_pre2_pos3,elegivel_ept_federal_ativa_pre3_pos3,coorte_ept_federal_ativa_2010_2013,coorte_ept_federal_ativa_2010_2011,trajetoria_intermitente_ept_federal_ativa
1200203,Cruzeiro do Sul,AC,True,8,2012,2019,False,False,0,True,5,7,8,2012,2019,False,False,0,True,5,7,8,2012,2019,False,False,0,True,5,7,2012,True,True,True,False,False
1200500,Sena Madureira,AC,True,8,2012,2019,False,False,0,True,5,7,8,2012,2019,False,False,0,True,5,7,8,2012,2019,False,False,0,True,5,7,2012,True,True,True,False,False
2700300,Arapiraca,AL,True,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,2011,True,True,True,True,False
2704500,Maragogi,AL,True,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,2011,True,True,True,True,False
2706703,Penedo,AL,True,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,2011,True,True,True,True,False
2707107,Piranhas,AL,True,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,2011,True,True,True,True,False
1302405,Lábrea,AM,True,10,2010,2019,False,False,0,True,3,9,10,2010,2019,False,False,0,True,3,9,10,2010,2019,False,False,0,True,3,9,2010,True,True,True,True,False
1302900,Maués,AM,True,10,2010,2019,False,False,0,True,3,9,10,2010,2019,False,False,0,True,3,9,10,2010,2019,False,False,0,True,3,9,2010,True,True,True,True,False
1303403,Parintins,AM,True,10,2010,2019,False,False,0,True,3,9,10,2010,2019,False,False,0,True,3,9,10,2010,2019,False,False,0,True,3,9,2010,True,True,True,True,False
1303536,Presidente Figueiredo,AM,True,10,2010,2019,False,False,0,True,3,9,10,2010,2019,False,False,0,True,3,9,10,2010,2019,False,False,0,True,3,9,2010,True,True,True,True,False
1304062,Tabatinga,AM,True,10,2010,2019,False,False,0,True,3,9,10,2010,2019,False,False,0,True,3,9,10,2010,2019,False,False,0,True,3,9,2010,True,True,True,True,False
1600279,Laranjal do Jari,AP,True,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,2011,True,True,True,True,False
2903904,Bom Jesus da Lapa,BA,True,10,2010,2019,False,False,0,True,3,9,10,2010,2019,False,False,0,True,3,9,10,2010,2019,False,False,0,True,3,9,2010,True,True,True,True,False
2910800,Feira de Santana,BA,True,8,2012,2019,False,False,0,True,5,7,8,2012,2019,False,False,0,True,5,7,8,2012,2019,False,False,0,True,5,7,2012,True,True,True,False,False
2913606,Ilhéus,BA,True,8,2012,2019,False,False,0,True,5,7,8,2012,2019,False,False,0,True,5,7,8,2012,2019,False,False,0,True,5,7,2012,True,True,True,False,False
2914604,Irecê,BA,True,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,2011,True,True,True,True,False
2917508,Jacobina,BA,True,8,2012,2019,False,False,0,True,5,7,8,2012,2019,False,False,0,True,5,7,8,2012,2019,False,False,0,True,5,7,2012,True,True,True,False,False
2918001,Jequié,BA,True,8,2012,2019,False,False,0,True,5,7,6,2012,2019,False,True,1,False,5,7,6,2012,2019,False,True,1,False,5,7,2018,True,True,True,False,True
2924009,Paulo Afonso,BA,True,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,2011,True,True,True,True,False
2929909,Seabra,BA,True,8,2012,2019,False,False,0,True,5,7,8,2012,2019,False,False,0,True,5,7,8,2012,2019,False,False,0,True,5,7,2012,True,True,True,False,False
2300200,Acaraú,CE,True,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,2011,True,True,True,True,False
2302800,Canindé,CE,True,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,2011,True,True,True,True,False
2304103,Crateús,CE,True,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,2011,True,True,True,True,False
2307601,Limoeiro do Norte,CE,True,11,2009,2019,False,False,0,True,2,10,11,2009,2019,False,False,0,True,2,10,11,2009,2019,False,False,0,True,2,10,2009,True,False,False,False,False
2311306,Quixadá,CE,True,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,2011,True,True,True,True,False
2312908,Sobral,CE,True,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,2011,True,True,True,True,False
5300108,Brasília,DF,True,13,2007,2019,True,False,0,True,0,12,12,2008,2019,False,False,0,True,1,11,12,2008,2019,False,False,0,True,1,11,2008,False,False,False,False,False
3200607,Aracruz,ES,True,11,2009,2019,False,False,0,True,2,10,11,2009,2019,False,False,0,True,2,10,11,2009,2019,False,False,0,True,2,10,2009,True,False,False,False,False
3202454,Ibatiba,ES,True,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,2011,True,True,True,True,False
3203205,Linhares,ES,True,11,2009,2019,False,False,0,True,2,10,11,2009,2019,False,False,0,True,2,10,11,2009,2019,False,False,0,True,2,10,2009,True,False,False,False,False
3203908,Nova Venécia,ES,True,11,2009,2019,False,False,0,True,2,10,11,2009,2019,False,False,0,True,2,10,11,2009,2019,False,False,0,True,2,10,2009,True,False,False,False,False
3205200,Vila Velha,ES,True,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,2011,True,True,True,True,False
5201108,Anápolis,GO,True,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,2011,True,True,True,True,False
5208004,Formosa,GO,True,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,2011,True,True,True,True,False
5210208,Iporá,GO,True,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,2011,True,True,True,True,False
5211503,Itumbiara,GO,True,11,2009,2019,False,False,0,True,2,10,11,2009,2019,False,False,0,True,2,10,11,2009,2019,False,False,0,True,2,10,2009,True,False,False,False,False
5212501,Luziânia,GO,True,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,2011,True,True,True,True,False
5221601,Uruaçu,GO,True,11,2009,2019,False,False,0,True,2,10,11,2009,2019,False,False,0,True,2,10,11,2009,2019,False,False,0,True,2,10,2009,True,False,False,False,False
2100204,Alcântara,MA,True,13,2007,2019,True,False,0,True,0,12,12,2008,2019,False,False,0,True,1,11,12,2008,2019,False,False,0,True,1,11,2008,False,False,False,False,False
2101202,Bacabal,MA,True,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,2011,True,True,True,True,False
2101608,Barra do Corda,MA,True,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,2011,True,True,True,True,False
2101707,Barreirinhas,MA,True,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,2011,True,True,True,True,False
2103000,Caxias,MA,True,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,2011,True,True,True,True,False
2108603,Pinheiro,MA,True,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,2011,True,True,True,True,False
2111102,São João dos Patos,MA,True,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,9,2011,2019,False,False,0,True,4,8,2011,True,True,True,True,False
