secao,metrica,valor
geral,total_candidatos,4964
geral,candidatos_em_algum_arranjo,722
geral,candidatos_fora_de_arranjo,4242
geral,candidatos_mesmo_arranjo_fase_ii,145
geral,candidatos_em_arranjo_sem_fase_ii,577
geral,arranjos_distintos_com_candidato,279
geral,arranjos_distintos_com_candidato_e_fase_ii,41
geral,mesmo_arranjo_e_ate_25_km,83
geral,mesmo_arranjo_e_acima_25_km,62
geral,ate_25_km_e_fora_do_mesmo_arranjo,291
geral,mesmo_arranjo_e_ate_50_km,127
geral,mesmo_arranjo_e_acima_50_km,18
geral,ate_50_km_e_fora_do_mesmo_arranjo,1348
geral,mesmo_arranjo_e_ate_100_km,145
geral,mesmo_arranjo_e_acima_100_km,0
geral,ate_100_km_e_fora_do_mesmo_arranjo,3495

secao,uf,macrorregiao,total_candidatos,em_algum_arranjo,mesmo_arranjo_fase_ii
por_uf,AC,Norte,17,3,0
por_uf,AL,Nordeste,87,5,0
por_uf,AM,Norte,49,1,0
por_uf,AP,Norte,10,1,1
por_uf,BA,Nordeste,382,18,0
por_uf,CE,Nordeste,152,10,1
por_uf,ES,Sudeste,58,4,1
por_uf,GO,Centro-Oeste,221,36,6
por_uf,MA,Nordeste,189,15,1
por_uf,MG,Sudeste,788,94,19
por_uf,MS,Centro-Oeste,68,6,2
por_uf,MT,Centro-Oeste,122,7,1
por_uf,PA,Norte,126,7,1
por_uf,PB,Nordeste,203,21,4
por_uf,PE,Nordeste,159,12,1
por_uf,PI,Nordeste,204,5,1
por_uf,PR,Sul,364,49,3
por_uf,RJ,Sudeste,62,33,13
por_uf,RN,Nordeste,136,7,0
por_uf,RO,Norte,44,1,0
por_uf,RR,Norte,11,0,0
por_uf,RS,Sul,450,81,13
por_uf,SC,Sul,258,60,17
por_uf,SE,Nordeste,66,11,1
por_uf,SP,Sudeste,610,227,59
por_uf,TO,Norte,128,8,0

secao,macrorregiao,total_candidatos,em_algum_arranjo,mesmo_arranjo_fase_ii
por_macrorregiao,Centro-Oeste,411,49,9
por_macrorregiao,Nordeste,1578,104,9
por_macrorregiao,Norte,385,21,2
por_macrorregiao,Sudeste,1518,358,92
por_macrorregiao,Sul,1072,190,33
