codigo_municipio_ibge,municipio,uf,n_entidades_censo_total,n_entidades_censo_com_alguma_atividade,n_entidades_censo_com_ept_ativa,n_registros_sistec,n_nomes_unidade_sistec_distintos,presenca_federal_geral_antes_2009,presenca_federal_ept_ativa_antes_2009,multiplas_entidades_censo,multiplas_unidades_sistec,trajetoria_intermitente_ept_ativa,correspondencia_municipio,categorias,prioridade_revisao,prioridade_forcada,observacoes_diagnosticas
1200203,Cruzeiro do Sul,AC,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
1200500,Sena Madureira,AC,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2700300,Arapiraca,AL,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2704500,Maragogi,AL,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2706703,Penedo,AL,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2707107,Piranhas,AL,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
1302405,Lábrea,AM,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
1302900,Maués,AM,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
1303403,Parintins,AM,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
1303536,Presidente Figueiredo,AM,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
1304062,Tabatinga,AM,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
1600279,Laranjal do Jari,AP,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2903904,Bom Jesus da Lapa,BA,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2910800,Feira de Santana,BA,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2913606,Ilhéus,BA,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2914604,Irecê,BA,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2917508,Jacobina,BA,2,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,"1 de 2 entidade(s) do Censo nunca tiveram EPT ativa (preservadas na tabela longa, excluidas da contagem de alerta)"
2918001,Jequié,BA,1,1,1,1,1,False,False,False,False,True,exata,D_INTERMITENTE,media,False,
2924009,Paulo Afonso,BA,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2929909,Seabra,BA,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2300200,Acaraú,CE,1,1,1,2,2,False,False,False,True,False,exata,C_MULTIPLAS_ENTIDADES,media,False,
2302800,Canindé,CE,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2304103,Crateús,CE,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2307601,Limoeiro do Norte,CE,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2311306,Quixadá,CE,1,1,1,2,2,False,False,False,True,False,exata,C_MULTIPLAS_ENTIDADES,media,False,
2312908,Sobral,CE,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
5300108,Brasília,DF,13,13,11,20,19,True,True,True,True,False,exata,B_EPT_ATIVA_ANTES_2009; C_MULTIPLAS_ENTIDADES; F_AMBIGUO,alta,True,"Brasilia/DF: Campus Planaltina preexistente (absorvido em 2008) agregado, sob o mesmo codigo IBGE, a multiplas ondas de implantacao (Gama/Samambaia/Taguatinga/Brasilia 2009-2012 e unidades posteriores ate 2018).; candidatos MEC/SISTEC com o mesmo nome normalizado e dt_autorizacao divergente; 2 de 13 entidade(s) do Censo nunca tiveram EPT ativa (preservadas na tabela longa, excluidas da contagem de alerta)"
3200607,Aracruz,ES,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
3202454,Ibatiba,ES,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
3203205,Linhares,ES,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
3203908,Nova Venécia,ES,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
3205200,Vila Velha,ES,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
5201108,Anápolis,GO,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
5208004,Formosa,GO,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
5210208,Iporá,GO,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
5211503,Itumbiara,GO,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
5212501,Luziânia,GO,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
5221601,Uruaçu,GO,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2100204,Alcântara,MA,2,2,1,1,1,True,True,False,False,False,exata,B_EPT_ATIVA_ANTES_2009,media,False,"1 de 2 entidade(s) do Censo nunca tiveram EPT ativa (preservadas na tabela longa, excluidas da contagem de alerta)"
2101202,Bacabal,MA,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2101608,Barra do Corda,MA,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2101707,Barreirinhas,MA,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2103000,Caxias,MA,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2108603,Pinheiro,MA,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2111102,São João dos Patos,MA,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
2112209,Timon,MA,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
3101706,Almenara,MG,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
3103405,Araçuaí,MG,1,1,1,2,2,False,False,False,True,False,exata,C_MULTIPLAS_ENTIDADES,media,False,
3104502,Arinos,MG,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
3118601,Contagem,MG,3,2,1,5,4,False,False,False,True,False,exata,C_MULTIPLAS_ENTIDADES; F_AMBIGUO,alta,False,"candidatos MEC/SISTEC com o mesmo nome normalizado e dt_autorizacao divergente; 2 de 3 entidade(s) do Censo nunca tiveram EPT ativa (preservadas na tabela longa, excluidas da contagem de alerta)"
3120904,Curvelo,MG,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
3126109,Formiga,MG,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
3127701,Governador Valadares,MG,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
3134202,Ituiutaba,MG,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
3143302,Montes Claros,MG,3,3,3,3,3,True,True,True,True,True,exata,B_EPT_ATIVA_ANTES_2009; C_MULTIPLAS_ENTIDADES; D_INTERMITENTE; F_AMBIGUO,alta,True,"Montes Claros/MG: Colegio Agricola Antonio Versiani Athayde (UFMG, EPT ativa 2007-2008) x Campus Montes Claros do IFNMG (2011-)."
3143906,Muriaé,MG,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
3147006,Paracatu,MG,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
3151206,Pirapora,MG,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
5001102,Aquidauana,MS,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
5003207,Corumbá,MS,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
5003306,Coxim,MS,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
5006606,Ponta Porã,MS,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
5008305,Três Lagoas,MS,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
5101803,Barra do Garças,MT,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
5102637,Campo Novo do Parecis,MT,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
5103353,Confresa,MT,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
5105150,Juína,MT,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
5106752,Pontes e Lacerda,MT,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
5107602,Rondonópolis,MT,1,1,1,1,1,False,False,False,False,False,exata,A_SEM_ALERTA_MECANICO,baixa,False,
1500107,Abaetetuba,PA,1,1,1,1,1,True,True,False,False,False,exata,B_EPT_ATIVA_ANTES_2009,media,False,
